2025/02/12 06:40:25: Training starting...
2025/02/12 06:42:28: Episode 6100) Epsilon: 0.74, Reward: -0.900, Best Reward: 3.90, Mean Reward -5.74
2025/02/12 06:42:30: Episode 6200) Epsilon: 0.73, Reward: -7.500, Best Reward: 3.90, Mean Reward -6.22
2025/02/12 06:42:32: Episode 6300) Epsilon: 0.73, Reward: -7.500, Best Reward: 3.90, Mean Reward -5.80
2025/02/12 06:42:34: Episode 6400) Epsilon: 0.73, Reward: -7.500, Best Reward: 3.90, Mean Reward -5.89
2025/02/12 06:42:35: Episode 6434) New Best Reward 4.50 (+15.4%), saving model...
2025/02/12 06:42:36: Episode 6500) Epsilon: 0.72, Reward: -4.500, Best Reward: 4.50, Mean Reward -5.81
2025/02/12 06:42:39: Episode 6600) Epsilon: 0.72, Reward: -6.900, Best Reward: 4.50, Mean Reward -5.72
2025/02/12 06:42:41: Episode 6700) Epsilon: 0.72, Reward: -5.700, Best Reward: 4.50, Mean Reward -5.42
2025/02/12 06:42:43: Episode 6800) Epsilon: 0.71, Reward: -6.300, Best Reward: 4.50, Mean Reward -5.59
2025/02/12 06:42:44: Episode 6859) New Best Reward 4.90 (+8.9%), saving model...
2025/02/12 06:42:45: Episode 6900) Epsilon: 0.71, Reward: -0.300, Best Reward: 4.90, Mean Reward -5.23
2025/02/12 06:42:48: Episode 7000) Epsilon: 0.70, Reward: -6.300, Best Reward: 4.90, Mean Reward -5.72
2025/02/12 06:42:50: Episode 7100) Epsilon: 0.70, Reward: -6.900, Best Reward: 4.90, Mean Reward -5.63
2025/02/12 06:42:53: Episode 7200) Epsilon: 0.70, Reward: -6.300, Best Reward: 4.90, Mean Reward -5.78
2025/02/12 06:42:55: Episode 7300) Epsilon: 0.69, Reward: -5.700, Best Reward: 4.90, Mean Reward -5.67
2025/02/12 06:42:57: Episode 7400) Epsilon: 0.69, Reward: -6.900, Best Reward: 4.90, Mean Reward -5.53
